分类,型号,厂商,参考价格,价格币种,价格类型,发行日期,性能指标,商品描述,采集日期,来源链接
CPU,Ryzen 9 9950X3D,AMD,699,USD,首发建议价,2025-03-12,"16核32线程; 最高5.7GHz; 144MB缓存; 170W TDP; AM5; DDR5","面向高端游戏和创作的3D V-Cache旗舰桌面处理器。",2026-06-06,https://www.amd.com/en/products/processors/desktops/ryzen.html
CPU,Ryzen 9 9900X3D,AMD,599,USD,首发建议价,2025-03-12,"12核24线程; 最高5.5GHz; 140MB缓存; 120W TDP; AM5; DDR5","高端游戏与多任务桌面处理器，兼顾多线程和大缓存游戏性能。",2026-06-06,https://www.amd.com/en/products/processors/desktops/ryzen.html
CPU,Ryzen 7 9800X3D,AMD,479,USD,首发建议价,2024-11-07,"8核16线程; 最高5.2GHz; 104MB缓存; 120W TDP; AM5; DDR5","热门游戏向处理器，第二代3D V-Cache设计，适合高帧率游戏平台。",2026-06-06,https://www.amd.com/en/products/processors/desktops/ryzen.html
CPU,Ryzen 7 7800X3D,AMD,449,USD,首发建议价,2023-04-06,"8核16线程; 最高5.0GHz; 104MB缓存; 120W TDP; AM5; DDR5","成熟的AM5游戏处理器，仍是很多游戏装机清单中的高性价比选择。",2026-06-06,https://www.amd.com/en/products/processors/desktops/ryzen.html
CPU,Ryzen 5 9600X,AMD,279,USD,首发建议价,2024-08-08,"6核12线程; 最高5.4GHz; 38MB缓存; 65W TDP; AM5; DDR5","主流级Zen 5桌面处理器，适合中端游戏和日常生产力。",2026-06-06,https://www.amd.com/en/products/processors/desktops/ryzen.html
CPU,Core Ultra 9 285K,Intel,589,USD,首发建议价,2024-10-24,"24核心24线程; 最高5.7GHz; 36MB缓存; 125W基础功耗; LGA1851; DDR5","Arrow Lake-S旗舰可超频桌面处理器，面向高端台式机平台。",2026-06-06,https://www.intel.com/content/www/us/en/products/details/processors/core-ultra.html
CPU,Core Ultra 7 265K,Intel,394,USD,首发建议价,2024-10-24,"20核心20线程; 最高5.5GHz; 30MB缓存; 125W基础功耗; LGA1851; DDR5","高端主流可超频处理器，适合游戏、直播和多任务桌面。",2026-06-06,https://www.intel.com/content/www/us/en/products/details/processors/core-ultra.html
CPU,Core Ultra 5 245K,Intel,309,USD,首发建议价,2024-10-24,"14核心14线程; 最高5.2GHz; 24MB缓存; 125W基础功耗; LGA1851; DDR5","面向主流DIY市场的可超频Arrow Lake桌面处理器。",2026-06-06,https://www.intel.com/content/www/us/en/products/details/processors/core-ultra.html
显卡,GeForce RTX 5090,NVIDIA,1999,USD,首发建议价,2025-01-30,"21760 CUDA核心; 32GB GDDR7; 512-bit; 575W; DLSS 4; PCIe 5.0","Blackwell旗舰游戏显卡，面向4K/高刷新率游戏、AI和创作负载。",2026-06-06,https://www.nvidia.com/en-us/geforce/graphics-cards/50-series/rtx-5090/
显卡,GeForce RTX 5080,NVIDIA,999,USD,首发建议价,2025-01-30,"10752 CUDA核心; 16GB GDDR7; 256-bit; 360W; DLSS 4; PCIe 5.0","高端Blackwell显卡，适合4K游戏和创作工作流。",2026-06-06,https://www.nvidia.com/en-us/geforce/graphics-cards/50-series/rtx-5080/
显卡,GeForce RTX 5070 Ti,NVIDIA,749,USD,首发建议价,2025-02-20,"8960 CUDA核心; 16GB GDDR7; 256-bit; 300W; DLSS 4; PCIe 5.0","高性能中高端显卡，适合2K高刷和部分4K游戏。",2026-06-06,https://www.nvidia.com/en-us/geforce/graphics-cards/50-series/rtx-5070-family/
显卡,GeForce RTX 5070,NVIDIA,549,USD,首发建议价,2025-03-05,"6144 CUDA核心; 12GB GDDR7; 192-bit; 250W; DLSS 4; PCIe 5.0","主流高性能游戏显卡，定位2K游戏与AI加速桌面。",2026-06-06,https://www.nvidia.com/en-us/geforce/graphics-cards/50-series/rtx-5070-family/
显卡,Radeon RX 9070 XT,AMD,599,USD,首发建议价,2025-03-06,"64计算单元; 16GB GDDR6; 256-bit; 304W TBP; RDNA 4; FSR 4","RDNA 4高端游戏显卡，面向2K/4K游戏和光追性能提升。",2026-06-06,https://www.amd.com/en/products/graphics/desktops/radeon.html
显卡,Radeon RX 9070,AMD,549,USD,首发建议价,2025-03-06,"56计算单元; 16GB GDDR6; 256-bit; 220W TBP; RDNA 4; FSR 4","RDNA 4主流高端显卡，适合高画质2K游戏。",2026-06-06,https://www.amd.com/en/products/graphics/desktops/radeon.html
显卡,Radeon RX 9060 XT 16GB,AMD,349,USD,首发建议价,2025-06-05,"32计算单元; 16GB GDDR6; 128-bit; 160W TBP; RDNA 4; FSR 4","主流级RDNA 4显卡，16GB显存版本适合预算型2K或高纹理游戏。",2026-06-06,https://www.amd.com/en/products/graphics/desktops/radeon.html
显卡,Arc B580,Intel,249,USD,首发建议价,2024-12-13,"20 Xe2核心; 12GB GDDR6; 192-bit; 190W TBP; XeSS 2; PCIe 4.0","Battlemage架构主流显卡，12GB显存在同价位有辨识度。",2026-06-06,https://www.intel.com/content/www/us/en/products/details/discrete-gpus/arc.html
主板,ROG Strix X870E-E Gaming WiFi,ASUS,499.99,USD,美国零售参考价,2024-Q4,"AM5; X870E; ATX; DDR5; PCIe 5.0 x16; PCIe 5.0 M.2; Wi-Fi 7","高端AM5游戏主板，供电、扩展和高速存储规格完整。",2026-06-06,https://rog.asus.com/motherboards/rog-strix/rog-strix-x870e-e-gaming-wifi/
主板,MAG X870 Tomahawk WiFi,MSI,299.99,USD,美国零售参考价,2024-Q4,"AM5; X870; ATX; DDR5; PCIe 5.0 x16; PCIe 5.0 M.2; Wi-Fi 7","中高端AM5主板，主打稳定供电、实用接口和较强扩展性。",2026-06-06,https://www.msi.com/Motherboard/MAG-X870-TOMAHAWK-WIFI
主板,X870E AORUS Elite WiFi7,GIGABYTE,289.99,USD,美国零售参考价,2024-Q4,"AM5; X870E; ATX; DDR5; PCIe 5.0 x16; PCIe 5.0 M.2; Wi-Fi 7","面向高性能Ryzen平台的AORUS系列主板，接口和散热规格较均衡。",2026-06-06,https://www.gigabyte.com/Motherboard/X870E-AORUS-ELITE-WIFI7
主板,X870 Steel Legend WiFi,ASRock,259.99,USD,美国零售参考价,2024-Q4,"AM5; X870; ATX; DDR5; PCIe 5.0 x16; PCIe 5.0 M.2; Wi-Fi 7","偏性价比的X870主板，适合白色主题或中高端AM5装机。",2026-06-06,https://www.asrock.com/mb/AMD/X870%20Steel%20Legend%20WiFi/
主板,TUF Gaming B850-Plus WiFi,ASUS,219.99,USD,美国零售参考价,2025-Q1,"AM5; B850; ATX; DDR5; PCIe 5.0 M.2; Wi-Fi 7","耐用取向的B850主板，适合Ryzen 9000/7000主流游戏配置。",2026-06-06,https://www.asus.com/motherboards-components/motherboards/tuf-gaming/tuf-gaming-b850-plus-wifi/
主板,MAG B850 Tomahawk Max WiFi,MSI,239.99,USD,美国零售参考价,2025-Q1,"AM5; B850; ATX; DDR5; PCIe 5.0 M.2; Wi-Fi 7","B850平台中高端型号，偏重供电、网络和扩展均衡。",2026-06-06,https://www.msi.com/Motherboard/MAG-B850-TOMAHAWK-MAX-WIFI
主板,B850 AORUS Elite WiFi7,GIGABYTE,209.99,USD,美国零售参考价,2025-Q1,"AM5; B850; ATX; DDR5; PCIe 5.0 M.2; Wi-Fi 7","面向主流AM5装机的AORUS B850主板，适合中端游戏主机。",2026-06-06,https://www.gigabyte.com/Motherboard/B850-AORUS-ELITE-WIFI7
主板,ROG Strix Z890-E Gaming WiFi,ASUS,499.99,USD,美国零售参考价,2024-10-24,"LGA1851; Z890; ATX; DDR5; PCIe 5.0 x16; Thunderbolt 4; Wi-Fi 7","Intel Core Ultra 200S高端游戏主板，扩展接口和供电规格较高。",2026-06-06,https://rog.asus.com/motherboards/rog-strix/rog-strix-z890-e-gaming-wifi/
主板,MAG Z890 Tomahawk WiFi,MSI,299.99,USD,美国零售参考价,2024-10-24,"LGA1851; Z890; ATX; DDR5; PCIe 5.0 x16; PCIe 5.0 M.2; Wi-Fi 7","面向Arrow Lake平台的中高端Z890主板，适合可超频CPU。",2026-06-06,https://www.msi.com/Motherboard/MAG-Z890-TOMAHAWK-WIFI
内存,Vengeance RGB DDR5-6000 32GB (2x16GB) CL30,Corsair,119.99,USD,美国零售参考价,未公开,"32GB套装; DDR5-6000; CL30; EXPO/XMP版本; 1.35V; RGB","主流高性能DDR5套装，常用于AM5游戏配置。",2026-06-06,https://www.corsair.com/us/en/c/memory
内存,Trident Z5 Neo RGB DDR5-6000 32GB (2x16GB) CL30,G.SKILL,129.99,USD,美国零售参考价,未公开,"32GB套装; DDR5-6000; CL30; AMD EXPO; RGB; 散热马甲","面向AMD EXPO平台的高性能内存套装，兼顾外观和低延迟。",2026-06-06,https://www.gskill.com/products/1/165/Desktop-Memory
内存,Fury Beast DDR5-6000 32GB (2x16GB) CL30,Kingston,124.99,USD,美国零售参考价,未公开,"32GB套装; DDR5-6000; CL30; XMP/EXPO版本; 1.35V; 低高度散热片","兼容性和外形高度较友好的主流DDR5游戏内存。",2026-06-06,https://www.kingston.com/en/memory/gaming/kingston-fury-beast-ddr5-memory
内存,Pro DDR5-5600 32GB (2x16GB),Crucial,89.99,USD,美国零售参考价,未公开,"32GB套装; DDR5-5600; JEDEC/XMP; 无RGB; 低调散热片","偏稳定和性价比的DDR5套装，适合办公、开发和主流游戏主机。",2026-06-06,https://www.crucial.com/memory/ddr5/pro
内存,T-Force Delta RGB DDR5-6000 32GB (2x16GB) CL30,TEAMGROUP,109.99,USD,美国零售参考价,未公开,"32GB套装; DDR5-6000; CL30; RGB; XMP/EXPO版本; 1.35V","主流RGB DDR5内存，适合中端游戏装机和灯效主题配置。",2026-06-06,https://www.teamgroupinc.com/en/catalog/act.php?act=1&index_id=18
内存,Dominator Titanium DDR5-7200 48GB (2x24GB) CL34,Corsair,249.99,USD,美国零售参考价,2023-Q3,"48GB套装; DDR5-7200; CL34; XMP; RGB; 可更换顶部灯条","高端DDR5内存套装，适合高频平台、创作和外观定制。",2026-06-06,https://www.corsair.com/us/en/c/memory/dominator-titanium
内存,Trident Z5 RGB DDR5-7200 32GB (2x16GB) CL34,G.SKILL,159.99,USD,美国零售参考价,未公开,"32GB套装; DDR5-7200; CL34; Intel XMP; RGB; 铝合金散热片","高频DDR5内存，适合Intel高端平台和调校玩家。",2026-06-06,https://www.gskill.com/products/1/165/Desktop-Memory
内存,Fury Renegade DDR5-8000 48GB (2x24GB) CL38,Kingston,309.99,USD,美国零售参考价,未公开,"48GB套装; DDR5-8000; CL38; Intel XMP; 1.45V; 散热片","高频大容量DDR5套装，适合追求内存带宽和超频空间的配置。",2026-06-06,https://www.kingston.com/en/memory/gaming/kingston-fury-renegade-ddr5-memory

